loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
,,,0.5029940119760479,21,1.8034160137176514,5.0743,29.364,3.744
1.7796,0.5919182300567627,1.9463414634146343e-05,0.5269461077844312,22,,,,
,,,0.5269461077844312,22,1.7825465202331543,5.0734,29.369,3.745
1.7533,0.5307465195655823,1.9439024390243905e-05,0.5508982035928144,23,,,,
,,,0.5508982035928144,23,1.7632368803024292,5.0736,29.367,3.745
1.7691,0.5882523655891418,1.9414634146341464e-05,0.5748502994011976,24,,,,
,,,0.5748502994011976,24,1.7436730861663818,5.0731,29.371,3.745
1.685,0.5715649127960205,1.9390243902439026e-05,0.5988023952095808,25,,,,
,,,0.5988023952095808,25,1.7260582447052002,5.0733,29.37,3.745
1.7131,0.5957868695259094,1.9365853658536585e-05,0.6227544910179641,26,,,,
,,,0.6227544910179641,26,1.7084795236587524,5.0733,29.369,3.745
1.7138,0.5822181105613708,1.9341463414634147e-05,0.6467065868263473,27,,,,
,,,0.6467065868263473,27,1.692153811454773,5.0732,29.37,3.745
1.6842,0.5488560795783997,1.931707317073171e-05,0.6706586826347305,28,,,,
,,,0.6706586826347305,28,1.6762031316757202,5.0742,29.364,3.744
1.7331,0.5745612978935242,1.9292682926829268e-05,0.6946107784431138,29,,,,
,,,0.6946107784431138,29,1.6612833738327026,5.0741,29.365,3.744
1.6542,0.5711061954498291,1.926829268292683e-05,0.718562874251497,30,,,,
,,,0.718562874251497,30,1.6474822759628296,5.0732,29.37,3.745
1.6342,0.57374507188797,1.9243902439024393e-05,0.7425149700598802,31,,,,
,,,0.7425149700598802,31,1.633048415184021,5.0752,29.358,3.744
1.6216,0.5689576268196106,1.921951219512195e-05,0.7664670658682635,32,,,,
,,,0.7664670658682635,32,1.617633581161499,5.0743,29.364,3.744
1.6699,0.5604049563407898,1.9195121951219514e-05,0.7904191616766467,33,,,,
,,,0.7904191616766467,33,1.6036124229431152,5.0759,29.355,3.743
1.5872,0.5657385587692261,1.9170731707317072e-05,0.8143712574850299,34,,,,
,,,0.8143712574850299,34,1.5900309085845947,5.0749,29.36,3.744
1.5732,0.5663668513298035,1.9146341463414635e-05,0.8383233532934131,35,,,,
,,,0.8383233532934131,35,1.5759485960006714,5.0869,29.291,3.735
1.5884,0.59275883436203,1.9121951219512197e-05,0.8622754491017964,36,,,,
,,,0.8622754491017964,36,1.563438892364502,5.0746,29.362,3.744
1.5606,0.5765332579612732,1.9097560975609756e-05,0.8862275449101796,37,,,,
,,,0.8862275449101796,37,1.5506036281585693,5.0745,29.362,3.744
1.5714,0.5670751929283142,1.9073170731707318e-05,0.9101796407185628,38,,,,
,,,0.9101796407185628,38,1.537524700164795,5.0741,29.365,3.744
1.5004,0.5679380297660828,1.904878048780488e-05,0.9341317365269461,39,,,,
,,,0.9341317365269461,39,1.5249944925308228,5.0738,29.366,3.745
1.5155,0.49735769629478455,1.902439024390244e-05,0.9580838323353293,40,,,,
,,,0.9580838323353293,40,1.5123833417892456,5.0749,29.36,3.744
1.5122,0.5033528208732605,1.9e-05,0.9820359281437125,41,,,,
,,,0.9820359281437125,41,1.5005227327346802,5.0759,29.355,3.743
2.6008,0.8914653062820435,1.8975609756097563e-05,1.0179640718562875,42,,,,
,,,1.0179640718562875,42,1.4880279302597046,5.075,29.36,3.744
1.5186,0.5299964547157288,1.8951219512195122e-05,1.0419161676646707,43,,,,
,,,1.0419161676646707,43,1.4765645265579224,5.0737,29.367,3.745
1.4239,0.5154768824577332,1.8926829268292684e-05,1.0658682634730539,44,,,,
,,,1.0658682634730539,44,1.4647305011749268,5.0755,29.357,3.743
1.5162,0.5174012184143066,1.8902439024390243e-05,1.089820359281437,45,,,,
,,,1.089820359281437,45,1.4523448944091797,5.0758,29.355,3.743
1.4517,0.5418019890785217,1.8878048780487805e-05,1.1137724550898203,46,,,,
,,,1.1137724550898203,46,1.4408797025680542,5.0748,29.361,3.744
1.3917,0.5115869641304016,1.8853658536585367e-05,1.1377245508982037,47,,,,
,,,1.1377245508982037,47,1.428821325302124,5.0751,29.359,3.744
1.4738,0.47846007347106934,1.8829268292682926e-05,1.1616766467065869,48,,,,
,,,1.1616766467065869,48,1.4176387786865234,5.0748,29.361,3.744
1.4383,0.4920618236064911,1.880487804878049e-05,1.18562874251497,49,,,,
,,,1.18562874251497,49,1.407139778137207,5.0754,29.357,3.744
1.4304,0.4822750389575958,1.878048780487805e-05,1.2095808383233533,50,,,,
,,,1.2095808383233533,50,1.396092414855957,5.0772,29.347,3.742
1.3037,0.45605191588401794,1.875609756097561e-05,1.2335329341317365,51,,,,
,,,1.2335329341317365,51,1.3864375352859497,5.0759,29.355,3.743
1.3615,0.40859487652778625,1.8731707317073172e-05,1.2574850299401197,52,,,,
,,,1.2574850299401197,52,1.3762503862380981,5.0765,29.351,3.743
1.3431,0.38368090987205505,1.8707317073170734e-05,1.281437125748503,53,,,,
,,,1.281437125748503,53,1.367438554763794,5.0764,29.351,3.743
1.2995,0.3547617495059967,1.8682926829268296e-05,1.3053892215568863,54,,,,
,,,1.3053892215568863,54,1.3587062358856201,5.0753,29.358,3.744
1.3529,0.32155507802963257,1.8658536585365855e-05,1.3293413173652695,55,,,,
,,,1.3293413173652695,55,1.3504847288131714,5.0755,29.356,3.743
1.3179,0.33366888761520386,1.8634146341463417e-05,1.3532934131736527,56,,,,
,,,1.3532934131736527,56,1.342583417892456,5.0754,29.358,3.744
1.3147,0.2943686842918396,1.860975609756098e-05,1.377245508982036,57,,,,
,,,1.377245508982036,57,1.3348819017410278,5.076,29.354,3.743
1.3064,0.2671719789505005,1.8585365853658538e-05,1.401197604790419,58,,,,
,,,1.401197604790419,58,1.328708291053772,5.0747,29.361,3.744
1.3183,0.26559707522392273,1.85609756097561e-05,1.4251497005988023,59,,,,
,,,1.4251497005988023,59,1.3214867115020752,5.0758,29.355,3.743
1.3004,0.20717953145503998,1.8536585365853663e-05,1.4491017964071857,60,,,,
,,,1.4491017964071857,60,1.3159736394882202,5.0789,29.337,3.741
1.3304,0.2702767252922058,1.851219512195122e-05,1.473053892215569,61,,,,
,,,1.473053892215569,61,1.3089455366134644,5.0741,29.365,3.744
1.2737,0.20917554199695587,1.8487804878048784e-05,1.4970059880239521,62,,,,
,,,1.4970059880239521,62,1.301601529121399,5.074,29.365,3.745
1.209,0.1943521499633789,1.8463414634146342e-05,1.5209580838323353,63,,,,
,,,1.5209580838323353,63,1.2953276634216309,5.0741,29.365,3.745
1.2947,0.2075386792421341,1.8439024390243905e-05,1.5449101796407185,64,,,,
,,,1.5449101796407185,64,1.289280652999878,5.0741,29.365,3.745
1.3241,0.22146762907505035,1.8414634146341467e-05,1.568862275449102,65,,,,
,,,1.568862275449102,65,1.2831790447235107,5.0745,29.363,3.744
1.2309,0.18687553703784943,1.8390243902439026e-05,1.592814371257485,66,,,,
,,,1.592814371257485,66,1.2778816223144531,5.0745,29.362,3.744
1.2403,0.18973959982395172,1.8365853658536588e-05,1.6167664670658684,67,,,,
,,,1.6167664670658684,67,1.27215576171875,5.0748,29.361,3.744
1.2689,0.18243131041526794,1.834146341463415e-05,1.6407185628742516,68,,,,
,,,1.6407185628742516,68,1.266455888748169,5.0737,29.367,3.745
1.255,0.18345874547958374,1.831707317073171e-05,1.6646706586826348,69,,,,
,,,1.6646706586826348,69,1.2611305713653564,5.0735,29.369,3.745
1.2665,0.17149503529071808,1.829268292682927e-05,1.688622754491018,70,,,,
,,,1.688622754491018,70,1.255591869354248,5.0766,29.35,3.743
1.2773,0.18449020385742188,1.826829268292683e-05,1.7125748502994012,71,,,,
,,,1.7125748502994012,71,1.2508108615875244,5.0747,29.362,3.744
1.2424,0.17591026425361633,1.8243902439024392e-05,1.7365269461077846,72,,,,
,,,1.7365269461077846,72,1.2459871768951416,5.0759,29.354,3.743
1.2123,0.19500921666622162,1.8219512195121954e-05,1.7604790419161676,73,,,,
,,,1.7604790419161676,73,1.2412168979644775,5.0761,29.353,3.743
1.2007,0.19536642730236053,1.8195121951219513e-05,1.784431137724551,74,,,,
,,,1.784431137724551,74,1.2352865934371948,5.0769,29.349,3.742
1.202,0.22359204292297363,1.8170731707317075e-05,1.8083832335329342,75,,,,
,,,1.8083832335329342,75,1.2301744222640991,5.0754,29.357,3.744
1.1618,0.194438174366951,1.8146341463414637e-05,1.8323353293413174,76,,,,
,,,1.8323353293413174,76,1.2261868715286255,5.0749,29.36,3.744
1.2248,0.2275215983390808,1.8121951219512196e-05,1.8562874251497006,77,,,,
,,,1.8562874251497006,77,1.221149206161499,5.0751,29.359,3.744
1.1948,0.19460362195968628,1.809756097560976e-05,1.8802395209580838,78,,,,
,,,1.8802395209580838,78,1.2159115076065063,5.0766,29.35,3.743
1.1823,0.2346491813659668,1.807317073170732e-05,1.9041916167664672,79,,,,
,,,1.9041916167664672,79,1.2108029127120972,5.0748,29.361,3.744
1.1952,0.20600853860378265,1.804878048780488e-05,1.9281437125748502,80,,,,
,,,1.9281437125748502,80,1.2060692310333252,5.0741,29.365,3.744
1.2806,0.19168701767921448,1.802439024390244e-05,1.9520958083832336,81,,,,
,,,1.9520958083832336,81,1.2023115158081055,5.0761,29.353,3.743
1.1613,0.1920681595802307,1.8e-05,1.9760479041916168,82,,,,
,,,1.9760479041916168,82,1.198009729385376,5.0759,29.354,3.743
2.0363,0.5113379955291748,1.7975609756097563e-05,2.0119760479041915,83,,,,
,,,2.0119760479041915,83,1.1929007768630981,5.0746,29.362,3.744
1.2702,0.18936137855052948,1.7951219512195125e-05,2.035928143712575,84,,,,
,,,2.035928143712575,84,1.1887842416763306,5.0749,29.36,3.744
1.1482,0.18849636614322662,1.7926829268292684e-05,2.059880239520958,85,,,,
,,,2.059880239520958,85,1.1844468116760254,5.0751,29.359,3.744
1.1334,0.2538377046585083,1.7902439024390246e-05,2.0838323353293413,86,,,,
,,,2.0838323353293413,86,1.1802247762680054,5.075,29.36,3.744
1.1544,0.20211149752140045,1.7878048780487808e-05,2.1077844311377247,87,,,,
,,,2.1077844311377247,87,1.1757233142852783,5.0751,29.359,3.744
