epoch,step,train_loss,eval_loss,precision,recall,f1,accuracy
0.005780346820809248,1,2.579,,,,,
0.011560693641618497,2,2.3266,,,,,
0.017341040462427744,3,2.2639,,,,,
0.023121387283236993,4,2.1401,,,,,
0.028901734104046242,5,2.0927,,,,,
0.03468208092485549,6,2.075,,,,,
0.04046242774566474,7,2.2468,,,,,
0.046242774566473986,8,2.0671,,,,,
0.05202312138728324,9,2.1665,,,,,
0.057803468208092484,10,2.2587,,,,,
0.06358381502890173,11,1.855,,,,,
0.06936416184971098,12,1.928,,,,,
0.07514450867052024,13,2.0484,,,,,
0.08092485549132948,14,1.9123,,,,,
0.08670520231213873,15,2.1359,,,,,
0.09248554913294797,16,2.175,,,,,
0.09826589595375723,17,1.9668,,,,,
0.10404624277456648,18,2.2147,,,,,
0.10982658959537572,19,2.0424,,,,,
0.11560693641618497,20,2.0372,,,,,
0.12138728323699421,21,1.9312,,,,,
0.12716763005780346,22,2.14,,,,,
0.1329479768786127,23,1.8508,,,,,
0.13872832369942195,24,1.8928,,,,,
0.14450867052023122,25,2.2872,,,,,
0.15028901734104047,26,1.9895,,,,,
0.15606936416184972,27,2.0627,,,,,
0.16184971098265896,28,2.0383,,,,,
0.1676300578034682,29,1.9963,,,,,
0.17341040462427745,30,1.7951,,,,,
0.1791907514450867,31,2.2313,,,,,
0.18497109826589594,32,1.9049,,,,,
0.1907514450867052,33,1.6575,,,,,
0.19653179190751446,34,1.9057,,,,,
0.2023121387283237,35,1.9546,,,,,
0.20809248554913296,36,2.267,,,,,
0.2138728323699422,37,1.7559,,,,,
0.21965317919075145,38,1.8086,,,,,
0.2254335260115607,39,1.9254,,,,,
0.23121387283236994,40,1.805,,,,,
0.23699421965317918,41,1.7127,,,,,
0.24277456647398843,42,2.1384,,,,,
0.24855491329479767,43,1.7432,,,,,
0.2543352601156069,44,1.8812,,,,,
0.26011560693641617,45,1.837,,,,,
0.2658959537572254,46,1.684,,,,,
0.27167630057803466,47,1.8365,,,,,
0.2774566473988439,48,2.1616,,,,,
0.2832369942196532,49,1.9246,,,,,
0.28901734104046245,50,2.0894,,,,,
0.2947976878612717,51,1.8697,,,,,
0.30057803468208094,52,2.0303,,,,,
0.3063583815028902,53,1.8158,,,,,
0.31213872832369943,54,1.9293,,,,,
0.3179190751445087,55,1.7922,,,,,
